,PATRÓN 1,0.5,,mg/L,0.5,0.0148,0,0.0148,0.0149,0.0147
,PATRÓN 2,1,,mg/L,1.3,0.033,-0.0001,0.033,0.0325,0.0334
,PATRÓN 3,2,,mg/L,1.2,0.0597,0.0001,0.0596,0.0591,0.0605
,PATRÓN 4,5,,mg/L,0.6,0.1572,0.0005,0.1562,0.1581,0.1572
,PATRÓN 5,10,,mg/L,0.3,0.3075,0.0004,0.3085,0.3074,0.3066
,PATRON,0.4951,,mg/L,2.3,0.015,-0.0002,0.0154,0.0147,0.0149
,BLANCO,-0.0051,,mg/L,44.8,-0.0002,0.0001,-0.0001,-0.0002,-0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0002,-0.0001,0.0003,-0.0001
,SA000105-032,0.8262,,mg/L,0.7,0.1115,0.0006,0.1115,0.1107,0.1124
,SA000106-029,0.1543,,mg/L,0.9,0.0201,0.0004,0.0201,0.02,0.0203
,SA000106-030,0.0201,,mg/L,65.2,0.0006,0.0003,0.0006,0.001,0.0002
,SA000106-031,0.2461,,mg/L,0.1,0.0324,0.0006,0.0323,0.0324,0.0324
,SA000107-002,0.1175,,mg/L,1.9,0.0153,0.0005,0.015,0.0155,0.0154
,PATRON,0.4867,,mg/L,2.7,0.0148,0.0001,0.0149,0.015,0.0143
,SA000107-003,0.1472,,mg/L,0.5,0.0168,0.0002,0.0167,0.0168,0.0169
,SA000107-004,0.0894,,mg/L,1.9,0.0116,0.0004,0.0115,0.0115,0.0119
,SA000107-005,0.3682,,mg/L,0.1,0.0486,0.0005,0.0486,0.0486,0.0486
,SA000107-008,0.2618,,mg/L,0.9,0.0344,0.0006,0.034,0.0346,0.0345
,SA000110-018,0.0983,,mg/L,2.9,0.0128,0.0005,0.0128,0.0124,0.0132
,PATRON,0.4977,,mg/L,3.7,0.0151,0,0.0157,0.0147,0.0148
,BLANCO,-0.0083,,mg/L,>100,-0.0002,0.0001,-0.0002,-0.0005,0
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,0,-0.0001,0,-0.0005
,SA000110-019,0.1527,,mg/L,1.9,0.0199,0.0005,0.0198,0.0196,0.0204
,SA000110-020,0.0413,,mg/L,3.3,0.0054,0.0007,0.0052,0.0054,0.0055
,SA000110-021,0.0378,,mg/L,8.2,0.0049,0.0008,0.0046,0.0054,0.0047
,SA000110-023,0.6176,,mg/L,0.3,0.0825,0.0011,0.0828,0.0824,0.0824
,SA000110-024,0.4086,,mg/L,0.9,0.0541,0.0006,0.0544,0.0542,0.0536
,PATRON,0.4939,,mg/L,1.1,0.015,0.0002,0.0152,0.0148,0.0149
,SA000110-025,0.0654,,mg/L,3.9,0.0085,0.0005,0.0081,0.0088,0.0085
,SA000110-026,0.1723,,mg/L,1.2,0.0225,0.0006,0.0225,0.0228,0.0223
,SA000110-027,0.0824,,mg/L,1.3,0.0107,0.0004,0.0107,0.0106,0.0108
,SA000110-028,0.916,,mg/L,0.4,0.1241,0.001,0.1237,0.1247,0.1241
,SA000111-011,0.0988,,mg/L,4,0.0112,0.0003,0.0108,0.0117,0.0112
,PATRON,0.4991,,mg/L,1.4,0.0151,0.0001,0.0149,0.0153,0.0152
,BLANCO,-0.007,,mg/L,14.1,-0.0002,0.0002,-0.0002,-0.0002,-0.0002
,BLANCO REACTIVO,0,,mg/L,20.6,-0.0006,0.0002,-0.0005,-0.0007,-0.0005
,SA000111-013,0.0248,,mg/L,6.9,0.0032,0.0009,0.0031,0.0031,0.0035
,SA000111-014,0.0249,,mg/L,6.6,0.0032,0.0008,0.003,0.0034,0.0033
,SA000114-024,0.2261,,mg/L,1.4,0.0296,0.0008,0.0293,0.0301,0.0295
,SA000114-025,0.1331,,mg/L,3.9,0.0174,0.001,0.0181,0.0172,0.0168
,SA000114-026,0.0229,,mg/L,10.4,0.003,0.001,0.0032,0.0026,0.0031
,PATRON,0.4964,,mg/L,3.1,0.0151,0.0008,0.0155,0.0151,0.0146
,SA000114-028,0.3873,,mg/L,0.3,0.0512,0.001,0.0511,0.0514,0.0513
,SA000114-029,0.1911,,mg/L,1.9,0.025,0.0008,0.0256,0.0247,0.0248
,SA000114-031,0.0794,,mg/L,1.5,0.0103,0.0009,0.0104,0.0105,0.0102
,SA000114-032,0.1552,,mg/L,0.9,0.0202,0.001,0.02,0.0204,0.0202
,SA000120-001,0.0361,,mg/L,6.1,0.0047,0.001,0.005,0.0046,0.0045
,PATRON,0.5129,,mg/L,2.6,0.0156,0.0005,0.0158,0.0151,0.0158
,BLANCO,0.0053,,mg/L,>100,0.0002,0.0007,0,0.0005,-0.0001
,BLANCO REACTIVO,0,,mg/L,50,-0.0005,-0.0001,-0.0003,-0.0007,-0.0004
,SA000120-002,0.2035,,mg/L,1.9,0.0266,0.0011,0.0265,0.0272,0.0263
,SA000120-003,0.1131,,mg/L,1.9,0.0147,0.0008,0.0145,0.0146,0.015
,SA000120-005,0.1025,,mg/L,2.1,0.0133,0.0008,0.0131,0.0136,0.0133
,SA000120-006,0.1836,,mg/L,0.6,0.024,0.0006,0.0241,0.0239,0.0242
,SA000120-007,0.0267,,mg/L,3.7,0.0035,0.0006,0.0033,0.0035,0.0035
,PATRON,0.4922,,mg/L,3.5,0.0149,0.0006,0.0155,0.0145,0.0147
,SA000120-014,0.0356,,mg/L,2.3,0.0046,0.0007,0.0047,0.0045,0.0047
,SA000120-015,0.0472,,mg/L,2.2,0.0061,0.0008,0.0062,0.0062,0.006
,SA000120-016,0.1521,,mg/L,0.5,0.0198,0.0011,0.0199,0.0197,0.0198
,SA000120-017,0.1122,,mg/L,1.1,0.0146,0.0008,0.0148,0.0145,0.0146
,SA000124-001,0.178,,mg/L,0.9,0.0233,0.0007,0.023,0.0234,0.0234
,PATRON,0.4933,,mg/L,0.7,0.015,0.0006,0.0151,0.0149,0.0149
,BLANCO,-0.0039,,mg/L,>100,-0.0001,0.0007,0,0.0002,-0.0005
,BLANCO REACTIVO,0,,mg/L,69.5,-0.0002,-0.0002,-0.0004,-0.0001,-0.0002
,SA000124-002,0.1347,,mg/L,0.5,0.0176,0.0006,0.0176,0.0176,0.0175
,SA000124-003,0.1276,,mg/L,1.5,0.0166,0.0005,0.0169,0.0164,0.0167
,SA000124-004,0.2774,,mg/L,1.4,0.0365,0.0007,0.0363,0.0361,0.0371
,SA000124-005,0.0649,,mg/L,3.3,0.0084,0.0005,0.0082,0.0087,0.0083
,PATRON,0.4941,,mg/L,1.2,0.015,-0.0001,0.0152,0.0149,0.0149
,BLANCO,-0.0042,,mg/L,>100,-0.0001,0.0001,0,-0.0006,0.0002
,BLANCO REACTIVO,0,,mg/L,42.6,-0.0005,-0.0001,-0.0003,-0.0007,-0.0005
Muestra 081,,,mg/L,,,,,,,
